date,direction,departure_time,ride,get_off,stop_sequence
2025-10-01,停留所A出発,8:00 発,0,0,1
2025-10-01,停留所A出発,8:00 発,0,0,2
2025-10-01,停留所A出発,8:00 発,1,0,3
2025-10-01,停留所A出発,8:00 発,1,0,4
2025-10-01,停留所A出発,8:00 発,0,2,5
2025-10-01,停留所E出発,11:00 発,0,1,5
2025-10-01,停留所E出発,11:00 発,0,1,4
2025-10-01,停留所E出発,11:00 発,0,0,3
2025-10-01,停留所E出発,11:00 発,1,0,2
2025-10-01,停留所E出発,11:00 発,1,0,1
2025-10-01,停留所A出発,13:00 発,0,0,1
2025-10-01,停留所A出発,13:00 発,0,0,2
2025-10-01,停留所A出発,13:00 発,0,0,3
2025-10-01,停留所A出発,13:00 発,0,0,4
2025-10-01,停留所A出発,13:00 発,0,0,5
2025-10-01,停留所E出発,15:00 発,0,0,5
2025-10-01,停留所E出発,15:00 発,0,0,4
2025-10-01,停留所E出発,15:00 発,0,1,3
2025-10-01,停留所E出発,15:00 発,1,0,2
2025-10-01,停留所E出発,15:00 発,0,0,1
2025-10-02,停留所A出発,8:00 発,0,0,1
2025-10-02,停留所A出発,8:00 発,0,0,2
2025-10-02,停留所A出発,8:00 発,2,0,3
2025-10-02,停留所A出発,8:00 発,1,1,4
2025-10-02,停留所A出発,8:00 発,0,2,5
2025-10-02,停留所E出発,11:00 発,0,0,5
2025-10-02,停留所E出発,11:00 発,0,2,4
2025-10-02,停留所E出発,11:00 発,1,1,3
2025-10-02,停留所E出発,11:00 発,1,0,2
2025-10-02,停留所E出発,11:00 発,1,0,1
2025-10-02,停留所A出発,13:00 発,0,0,1
2025-10-02,停留所A出発,13:00 発,1,0,2
2025-10-02,停留所A出発,13:00 発,1,0,3
2025-10-02,停留所A出発,13:00 発,1,2,4
2025-10-02,停留所A出発,13:00 発,0,1,5
2025-10-02,停留所E出発,15:00 発,0,1,5
2025-10-02,停留所E出発,15:00 発,1,0,4
2025-10-02,停留所E出発,15:00 発,0,0,3
2025-10-02,停留所E出発,15:00 発,0,0,2
2025-10-02,停留所E出発,15:00 発,0,0,1
2025-10-03,停留所A出発,8:00 発,0,0,1
2025-10-03,停留所A出発,8:00 発,1,0,2
2025-10-03,停留所A出発,8:00 発,0,0,3
2025-10-03,停留所A出発,8:00 発,0,0,4
2025-10-03,停留所A出発,8:00 発,0,1,5
2025-10-03,停留所E出発,11:00 発,0,2,5
2025-10-03,停留所E出発,11:00 発,0,1,4
2025-10-03,停留所E出発,11:00 発,0,0,3
2025-10-03,停留所E出発,11:00 発,1,0,2
2025-10-03,停留所E出発,11:00 発,2,0,1
2025-10-03,停留所A出発,13:00 発,3,0,1
2025-10-03,停留所A出発,13:00 発,0,1,2
2025-10-03,停留所A出発,13:00 発,0,0,3
2025-10-03,停留所A出発,13:00 発,0,0,4
2025-10-03,停留所A出発,13:00 発,0,2,5
2025-10-03,停留所E出発,15:00 発,0,0,5
2025-10-03,停留所E出発,15:00 発,0,1,4
2025-10-03,停留所E出発,15:00 発,0,0,3
2025-10-03,停留所E出発,15:00 発,0,0,2
2025-10-03,停留所E出発,15:00 発,1,0,1
2025-10-04,停留所A出発,8:00 発,0,0,1
2025-10-04,停留所A出発,8:00 発,0,0,2
2025-10-04,停留所A出発,8:00 発,1,0,3
2025-10-04,停留所A出発,8:00 発,0,0,4
2025-10-04,停留所A出発,8:00 発,0,1,5
2025-10-04,停留所E出発,11:00 発,0,0,5
2025-10-04,停留所E出発,11:00 発,0,0,4
2025-10-04,停留所E出発,11:00 発,0,0,3
2025-10-04,停留所E出発,11:00 発,0,0,2
2025-10-04,停留所E出発,11:00 発,0,0,1
2025-10-04,停留所A出発,13:00 発,0,0,1
2025-10-04,停留所A出発,13:00 発,0,0,2
2025-10-04,停留所A出発,13:00 発,0,0,3
2025-10-04,停留所A出発,13:00 発,1,0,4
2025-10-04,停留所A出発,13:00 発,0,1,5
2025-10-04,停留所E出発,15:00 発,0,4,5
2025-10-04,停留所E出発,15:00 発,0,0,4
2025-10-04,停留所E出発,15:00 発,0,0,3
2025-10-04,停留所E出発,15:00 発,1,0,2
2025-10-04,停留所E出発,15:00 発,3,0,1
